starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	31
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
Sat Jan 21 14:00:33 2017	1485018033	0	39	39	30
